appbytes,bytes,count,dstbytes,dstload,dstport,dstrate,duration,hops,intpkt,jitter,loss,maxsize,meansize,minsize,packets,pcr,ploss,protocol,rate,rtt,srcbytes,srcload,srcport,srcrate,srcrate,security
15818,19010,39,0,0.0,0,0.0,1628.748413,0,2437.25,1793.374,0,270,250.131577,83,76,1.0,0.0,17,0.046048,0.0,19010,93.372307,0,0.046048,0.046048,1
0,60,1,0,0.0,25,0.0,0.0,13,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,48460,0.0,0.0,1
0,60,1,0,0.0,25,0.0,0.0,13,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,48460,0.0,0.0,1
15944,19262,39,0,0.0,0,0.0,1629.289551,0,2321.919,2058.255,0,270,243.822784,83,79,1.0,0.0,17,0.047874,0.0,19262,94.578644,0,0.047874,0.047874,1
15944,19262,39,0,0.0,0,0.0,1629.289551,0,2321.919,2058.255,0,270,243.822784,83,79,1.0,0.0,17,0.047874,0.0,19262,94.578644,0,0.047874,0.047874,1
38382,56484,232,0,0.0,0,0.0,1785.407349,0,4743.383,1572186.624,0,168,131.05336,86,431,1.0,0.0,17,0.240841,0.0,56484,253.091827,0,0.240841,0.240841,1
38382,56484,232,0,0.0,0,0.0,1785.407349,0,4743.383,1572186.624,0,168,131.05336,86,431,1.0,0.0,17,0.240841,0.0,56484,253.091827,0,0.240841,0.240841,1
22006,30994,109,0,0.0,0,0.0,1780.000977,0,2370.345,2651.196,0,379,144.831772,67,214,1.0,0.0,17,0.119663,0.0,30994,139.298798,0,0.119663,0.119663,1
22006,30994,109,0,0.0,0,0.0,1780.000977,0,2370.345,2651.196,0,379,144.831772,67,214,1.0,0.0,17,0.119663,0.0,30994,139.298798,0,0.119663,0.119663,1
0,60,1,0,0.0,3390,0.0,0.000137,18,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,16890,0.0,0.0,1
0,60,1,0,0.0,3390,0.0,0.000137,18,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,16890,0.0,0.0,1
0,60,1,0,0.0,2323,0.0,0.0,24,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,33044,0.0,0.0,0
77834,98204,310,0,0.0,0,0.0,1779.878906,0,1708.645,2081.816,0,331,202.482468,73,485,1.0,0.0,17,0.271929,0.0,98204,441.396332,0,0.271929,0.271929,1
77834,98204,310,0,0.0,0,0.0,1779.878906,0,1708.645,2081.816,0,331,202.482468,73,485,1.0,0.0,17,0.271929,0.0,98204,441.396332,0,0.271929,0.271929,1
16763,20123,42,0,0.0,0,0.0,1629.690552,0,2438.054,1755.651,0,270,251.537506,83,80,1.0,0.0,17,0.048475,0.0,20123,98.781944,0,0.048475,0.048475,1
16763,20123,42,0,0.0,0,0.0,1629.690552,0,2438.054,1755.651,0,270,251.537506,83,80,1.0,0.0,17,0.048475,0.0,20123,98.781944,0,0.048475,0.048475,1
0,60,1,0,0.0,8001,0.0,0.0,8,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,11481,0.0,0.0,1
0,60,1,0,0.0,8001,0.0,0.0,8,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,11481,0.0,0.0,1
0,180,3,0,0.0,0,0.0,412.108124,12,0.0,0.0,0,60,60.0,60,3,-0.0,0.0,6,0.004853,0.0,180,3.494229,45181,0.004853,0.004853,1
0,180,3,0,0.0,0,0.0,412.108124,12,0.0,0.0,0,60,60.0,60,3,-0.0,0.0,6,0.004853,0.0,180,3.494229,45181,0.004853,0.004853,1
51570,64674,199,0,0.0,0,0.0,1788.71875,0,2147.737,1370261.248,0,268,207.288467,113,312,1.0,0.0,17,0.173867,0.0,64674,289.252838,0,0.173867,0.173867,1
51570,64674,199,0,0.0,0,0.0,1788.71875,0,2147.737,1370261.248,0,268,207.288467,113,312,1.0,0.0,17,0.173867,0.0,64674,289.252838,0,0.173867,0.173867,1
1317,1401,2,0,0.0,5353,0.0,538.615845,1,0.0,0.0,0,1045,700.5,356,2,1.0,0.0,17,0.001857,0.0,1401,20.808893,5353,0.001857,0.001857,0
15625,18775,38,0,0.0,5353,0.0,1629.640869,0,2547.495,2075.175,0,270,250.333328,73,75,1.0,0.0,17,0.045409,0.0,18775,92.167549,5353,0.045409,0.045409,0
0,300,1,180,267.475555,80,0.557241,3.589113,11,5289.665,299.463,2,120,120.0,120,5,-0.0,28.571429,6,1.114481,5.6e-05,120,133.737778,13795,0.27862,0.27862,0
11729,14333,17,0,0.0,0,0.0,1755.871094,0,1000.641,0.305,0,1137,231.177414,214,62,1.0,0.0,17,0.034741,0.0,14333,65.3032,0,0.034741,0.034741,0
29221,30271,2,0,0.0,5353,0.0,76.178062,1,43.519914,204.050156,0,1478,1210.839966,616,25,1.0,0.0,17,0.315051,0.0,30271,3178.9729,5353,0.315051,0.315051,0
18047,21575,42,0,0.0,0,0.0,1637.685669,0,2557.011,1923.254,0,274,256.845245,101,84,1.0,0.0,17,0.050681,0.0,21575,105.392632,0,0.050681,0.050681,1
18047,21575,42,0,0.0,0,0.0,1637.685669,0,2557.011,1923.254,0,274,256.845245,101,84,1.0,0.0,17,0.050681,0.0,21575,105.392632,0,0.050681,0.050681,1
36374,47210,163,0,0.0,0,0.0,1780.969849,0,854.900062,166.068,0,243,182.984497,65,258,1.0,0.0,17,0.144303,0.0,47210,212.064224,0,0.144303,0.144303,1
36374,47210,163,0,0.0,0,0.0,1780.969849,0,854.900062,166.068,0,243,182.984497,65,258,1.0,0.0,17,0.144303,0.0,47210,212.064224,0,0.144303,0.144303,1
1003,1045,1,0,0.0,5353,0.0,0.0,1,0.0,0.0,0,1045,1045.0,1045,1,1.0,0.0,17,0.0,0.0,1045,0.0,5353,0.0,0.0,0
0,60,1,0,0.0,8080,0.0,0.0,15,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,18155,0.0,0.0,1
0,60,1,0,0.0,8080,0.0,0.0,15,0.0,0.0,0,60,60.0,60,1,-0.0,0.0,6,0.0,0.0,60,0.0,18155,0.0,0.0,1
0,120,1,60,0.0,2222,0.0,0.000383,9,0.0,0.0,0,120,120.0,120,2,-0.0,0.0,6,2610.966064,0.0,60,0.0,12134,0.0,0.0,0
3150,5010,22,0,0.0,547,0.0,1740.049927,0,3750.177,2681.241,0,167,167.0,167,30,1.0,0.0,17,0.016666,0.0,5010,23.033821,546,0.016666,0.016666,0
2656,4980,33,0,0.0,0,0.0,1783.160522,0,838.994,231.159,0,60,60.0,60,83,1.0,0.0,2054,0.045986,0.0,4980,22.342352,0,0.045986,0.045986,0
10464,28568,270,0,0.0,0,0.0,1781.149536,0,2274.74,2522.763,0,169,97.835617,89,292,1.0,0.0,17,0.163378,0.0,28568,128.312637,0,0.163378,0.163378,0
4110,6590,26,0,0.0,0,0.0,1774.029785,0,3267.785,2677.064,0,169,164.75,84,40,1.0,0.0,17,0.021984,0.0,6590,29.717651,0,0.021984,0.021984,0
3289,5459,23,0,0.0,0,0.0,1708.054321,0,3143.035,2677.931,0,181,155.971436,151,35,1.0,0.0,17,0.019906,0.0,5459,25.568274,0,0.019906,0.019906,0
